iter	Passed	Remaining
716	5955	2350
717	5963	2342
718	5971	2333
719	5979	2325
720	5987	2317
721	5995	2308
722	6003	2299
723	6010	2291
724	6018	2282
725	6027	2274
726	6034	2266
727	6042	2257
728	6050	2249
729	6058	2240
730	6065	2232
731	6074	2224
732	6083	2215
733	6092	2207
734	6101	2199
735	6109	2191
736	6116	2182
737	6125	2174
738	6132	2165
739	6140	2157
740	6148	2148
741	6156	2140
742	6163	2131
743	6171	2123
744	6179	2115
745	6188	2107
746	6196	2098
747	6204	2090
748	6212	2081
749	6220	2073
750	6228	2065
751	6236	2056
752	6244	2048
753	6252	2039
754	6260	2031
755	6268	2023
756	6277	2015
757	6286	2006
758	6293	1998
759	6302	1990
760	6309	1981
761	6318	1973
762	6326	1964
763	6334	1956
764	6341	1948
765	6349	1939
766	6357	1931
767	6364	1922
768	6372	1914
769	6380	1905
770	6389	1897
771	6396	1889
772	6405	1881
773	6414	1873
774	6422	1864
775	6430	1856
776	6437	1847
777	6445	1839
778	6453	1830
779	6460	1822
780	6468	1813
781	6476	1805
782	6484	1797
783	6491	1788
784	6500	1780
785	6507	1771
786	6515	1763
787	6523	1754
788	6531	1746
789	6538	1738
790	6546	1729
791	6553	1721
792	6561	1712
793	6569	1704
794	6577	1696
795	6585	1687
796	6594	1679
797	6602	1671
798	6610	1663
799	6619	1654
800	6627	1646
801	6634	1638
802	6642	1629
803	6650	1621
804	6658	1613
805	6666	1604
806	6675	1596
807	6684	1588
808	6692	1580
809	6700	1571
810	6709	1563
811	6717	1555
812	6726	1547
813	6734	1538
814	6743	1530
815	6751	1522
816	6759	1514
817	6767	1505
818	6775	1497
819	6782	1488
820	6792	1480
821	6801	1472
822	6810	1464
823	6818	1456
824	6827	1448
825	6835	1439
826	6844	1431
827	6852	1423
828	6861	1415
829	6869	1406
830	6878	1398
831	6885	1390
832	6894	1382
833	6902	1373
834	6912	1365
835	6921	1357
836	6929	1349
837	6937	1341
838	6945	1332
839	6952	1324
840	6960	1315
841	6968	1307
842	6976	1299
843	6983	1290
844	6992	1282
845	7000	1274
846	7009	1266
847	7017	1257
848	7025	1249
849	7034	1241
850	7042	1233
851	7050	1224
852	7058	1216
853	7066	1208
854	7075	1199
855	7082	1191
856	7091	1183
857	7099	1174
858	7107	1166
859	7114	1158
860	7125	1150
861	7133	1142
862	7141	1133
863	7149	1125
864	7157	1117
865	7165	1108
866	7174	1100
867	7182	1092
868	7190	1083
869	7198	1075
870	7205	1067
871	7213	1058
872	7222	1050
873	7230	1042
874	7238	1034
875	7246	1025
876	7254	1017
877	7262	1009
878	7271	1000
879	7278	992
880	7288	984
881	7297	976
882	7305	967
883	7313	959
884	7321	951
885	7329	943
886	7338	934
887	7348	926
888	7356	918
889	7364	910
890	7372	901
891	7380	893
892	7388	885
893	7396	877
894	7403	868
895	7411	860
896	7419	851
897	7426	843
898	7435	835
899	7443	827
900	7451	818
901	7458	810
902	7467	802
903	7475	793
904	7483	785
905	7491	777
906	7499	769
907	7507	760
908	7515	752
909	7523	744
910	7534	736
911	7541	727
912	7549	719
913	7557	711
914	7565	702
915	7572	694
916	7581	686
917	7589	677
918	7597	669
919	7605	661
920	7613	653
921	7621	644
922	7630	636
923	7638	628
924	7648	620
925	7657	611
926	7665	603
927	7672	595
928	7680	586
929	7687	578
930	7697	570
931	7706	562
932	7714	554
933	7724	545
934	7733	537
935	7742	529
936	7750	521
937	7758	512
938	7766	504
939	7775	496
940	7782	487
941	7790	479
942	7798	471
943	7806	463
944	7813	454
945	7821	446
946	7829	438
947	7836	429
948	7845	421
949	7852	413
950	7860	405
951	7868	396
952	7876	388
953	7883	380
954	7891	371
955	7899	363
956	7907	355
957	7915	347
958	7923	338
959	7931	330
960	7941	322
961	7948	313
962	7957	305
963	7966	297
964	7974	289
965	7982	280
966	7990	272
967	7997	264
968	8005	256
969	8013	247
970	8021	239
971	8028	231
972	8037	223
973	8044	214
974	8053	206
975	8061	198
976	8070	189
977	8080	181
978	8089	173
979	8099	165
980	8109	157
981	8121	148
982	8131	140
983	8141	132
984	8151	124
985	8161	115
986	8173	107
987	8181	99
988	8191	91
989	8201	82
990	8209	74
991	8220	66
992	8228	58
993	8238	49
994	8245	41
995	8255	33
996	8265	24
997	8273	16
998	8282	8
999	8291	0
